question_id,mode,image,gt_answer,answer_extracted,bbox_iou,error_type,notes
4191,center_bbox,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,Yes,0.4718797407254172,,
4191,crop_only,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,Yes.,0.5565794177225243,,
4073,crop_only,cot/cub/169.Magnolia_Warbler/Magnolia_Warbler_0111_165478.jpg,Yes,No.,0.3243962500540027,,
833,crop_only,cot/cub/038.Great_Crested_Flycatcher/Great_Crested_Flycatcher_0024_29516.jpg,Yes,No.,0.6546844502277162,,
3802,crop_only,cot/cub/157.Yellow_throated_Vireo/Yellow_Throated_Vireo_0048_794982.jpg,No,Yes,0.3971142597166254,,
1608,crop_only,cot/cub/069.Rufous_Hummingbird/Rufous_Hummingbird_0130_59500.jpg,Yes,No.,0.07188537082140464,,
4191,full,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,"Yes, the bird in the picture has a squared tail and a red bill.",,,
1955,full,cot/cub/083.White_breasted_Kingfisher/White_Breasted_Kingfisher_0037_73220.jpg,No,"Yes, the bird in the picture has a buff wing and a blue crown.",,,
2185,full,cot/cub/092.Nighthawk/Nighthawk_0084_84510.jpg,No,"Yes, the bird in the picture has grey underparts and an orange throat.",,,
2416,full,cot/cub/102.Western_Wood_Pewee/Western_Wood_Pewee_0014_98094.jpg,No,"Yes, the bird in the picture has a purple bill and a green eye.",,,
4191,lowres_full_highrescrop,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,Yes,0.5565794177225243,,
4191,oracle_bbox,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,Yes,1.0,,
2185,oracle_bbox,cot/cub/092.Nighthawk/Nighthawk_0084_84510.jpg,No,Yes.,1.0,,
4191,pred_bbox,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,Yes.,0.5565794177225243,,
2185,pred_bbox,cot/cub/092.Nighthawk/Nighthawk_0084_84510.jpg,No,Yes.,0.5424056871901509,,
1608,pred_bbox,cot/cub/069.Rufous_Hummingbird/Rufous_Hummingbird_0130_59500.jpg,Yes,"No, the bird in the picture does not have blue nape and black underparts.",0.07188537082140464,,
833,random_bbox,cot/cub/038.Great_Crested_Flycatcher/Great_Crested_Flycatcher_0024_29516.jpg,Yes,No.,0.13748319309089374,,
1608,random_bbox,cot/cub/069.Rufous_Hummingbird/Rufous_Hummingbird_0130_59500.jpg,Yes,"No, the bird in the picture does not have blue nape and black underparts.",0.1821025714761662,,
4191,structured_evidence,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,Yes,0.5565794177225243,,
3197,structured_evidence,cot/cub/134.Cape_Glossy_Starling/Cape_Glossy_Starling_0068_129446.jpg,Yes,No,0.06090580914833996,,
680,structured_evidence,cot/cub/031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0023_26258.jpg,Yes,No,0.0,,
1454,structured_evidence,cot/cub/062.Herring_Gull/Herring_Gull_0093_46029.jpg,Yes,No,0.003594577698812233,,
1430,woimg,cot/cub/062.Herring_Gull/Herring_Gull_0049_46508.jpg,No,"Yes, the bird in the picture has broad-wings and purple legs.",,,
1955,woimg,cot/cub/083.White_breasted_Kingfisher/White_Breasted_Kingfisher_0037_73220.jpg,No,"Yes, the bird in the picture has a buff wing and a blue crown.",,,
640,woimg,cot/cub/029.American_Crow/American_Crow_0110_25541.jpg,No,"Yes, the bird in the picture has iridescent underparts and white upperparts.",,,
2185,woimg,cot/cub/092.Nighthawk/Nighthawk_0084_84510.jpg,No,"Yes, the bird in the picture has grey underparts and an orange throat.",,,
3797,woimg,cot/cub/157.Yellow_throated_Vireo/Yellow_Throated_Vireo_0059_794970.jpg,No,"Yes, the bird in the picture has purple under and yellow back.",,,
3731,woimg,cot/cub/154.Red_eyed_Vireo/Red_Eyed_Vireo_0043_157162.jpg,No,"Yes, the bird in the picture has black upper feathers and purple wing feathers.",,,
2416,woimg,cot/cub/102.Western_Wood_Pewee/Western_Wood_Pewee_0014_98094.jpg,No,"Yes, the bird in the picture has a purple bill and green eye.",,,
4001,woimg,cot/cub/166.Golden_winged_Warbler/Golden_Winged_Warbler_0022_794833.jpg,No,"Yes, the bird in the picture has a white upper body and a red nape.",,,
3802,woimg,cot/cub/157.Yellow_throated_Vireo/Yellow_Throated_Vireo_0048_794982.jpg,No,"Yes, the bird in the picture has a purple forehead and a purple throat.",,,
